Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
29437949,Behind Closed Doors,B.A. Paris,"Paris, B.A.",,"=""1250121000""","=""9781250121004""",5.0,St. Martin's Press,Hardcover,293,2016,2016,2023/10/28,2023/10/28,all-time-faves,all-time-faves (#18),read,,,,1,0
28824322,The Hike,Drew Magary,"Magary, Drew",,"=""0399563865""","=""9780399563867""",3.0,Viking,Kindle Edition,227,2016,2016,2018/03/18,2016/04/29,,,read,,,,1,0
40396413,American Overdose: The Opioid Tragedy in Three Acts,Chris McGreal,"McGreal, Chris",,"=""1541773772""","=""9781541773776""",3.0,PublicAffairs,Kindle Edition,336,2018,2018,2021/12/12,2024/09/27,,,read,,,,1,0
125363222,LIV and Let Die: The Inside Story of the War Between the PGA Tour and LIV Golf,Alan Shipnuck,"Shipnuck, Alan",,"=""1668020033""","=""9781668020036""",2.0,Avid Reader Press / Simon & Schuster,Kindle Edition,336,2023,,2024/09/10,2024/09/28,,,read,,,,1,0
11084145,Steve Jobs,Walter Isaacson,"Isaacson, Walter",,"=""1451648537""","=""9781451648539""",5.0,Simon & Schuster,Hardcover,630,2011,2011,2010/11/20,2023/11/20,all-time-faves,all-time-faves (#92),read,,,,1,0
57684325,Lessons in Chemistry,Bonnie Garmus,"Garmus, Bonnie",,"=""""","=""""",5.0,Doubleday,ebook,386,2022,2022,2023/12/12,2022/07/19,all-time-faves,all-time-faves (#16),read,,,,1,0
240381654,"Big Fan: Two Friends, 82,490 Miles, and the Wild, Wonderful Sports We Love",Michael Schur,"Schur, Michael",Joe Posnanski,"=""""","=""9798217045136""",0,Dutton,Kindle Edition,443,2026,,,2025/09/10,"to-read, top-10","to-read (#212), top-10 (#22)",to-read,,,,0,0
243018874,Cancel Me If You Can,Dave Portnoy,"Portnoy, Dave",,"=""1668222043""","=""9781668222041""",0,Gallery Books,Kindle Edition,348,2026,,,2026/07/29,to-read,to-read (#293),to-read,,,,0,0
249246420,Rock*: A Mainstream Alternative History of Alternative Mainstream Music,Chuck Klosterman,"Klosterman, Chuck",,"=""0306837994""","=""9780306837999""",0,Da Capo,Hardcover,336,2026,,,2026/07/28,to-read,to-read (#292),to-read,,,,0,0
40624439,When the Game Was Ours,Larry Bird,"Bird, Larry","Earvin ""Magic"" Johnson, Jackie MacMullan","=""""","=""""",0,Mariner Books,Kindle Edition,369,2009,2009,,2026/07/24,currently-reading,currently-reading (#1),currently-reading,,,,1,0
57026221,Rock Paper Scissors,Alice Feeney,"Feeney, Alice",,"=""1250266114""","=""9781250266118""",4.0,Flatiron Books,Kindle Edition,304,2021,2021,2026/07/24,2026/01/23,top-10,top-10 (#13),read,,,,1,0
236045073,"Heartland: A Forgotten Place, an Impossible Dream, and the Miracle of Larry Bird",Keith O'Brien,"O'Brien, Keith",,"=""1668211726""","=""9781668211724""",5.0,Atria Books,Kindle Edition,384,2026,,2026/07/19,2026/03/12,top-10,top-10 (#16),read,,,,1,0
222259253,Culpability,Bruce Holsinger,"Holsinger, Bruce",,"=""1954118961""","=""9781954118966""",0,Spiegel & Grau,Hardcover,350,2025,2025,,2026/07/17,"to-read, top-10","to-read (#291), top-10 (#21)",to-read,,,,0,0
246137709,The Munich Affair,James  Patterson,"Patterson, James",David  Ellis,"=""0316404098""","=""9780316404099""",0,"Little, Brown and Company",Hardcover,528,2026,,,2026/07/15,to-read,to-read (#290),to-read,,,,0,0
232794526,This Book Made Me Think of You,Libby  Page,"Page, Libby",,"=""""","=""9798217186990""",0,Berkley,Hardcover,407,2026,2026,,2026/07/15,to-read,to-read (#289),to-read,,,,0,0
233717212,Operation Bounce House,Matt Dinniman,"Dinniman, Matt",,"=""0593820304""","=""9780593820308""",0,Ace,Hardcover,437,2026,2026,,2026/07/15,to-read,to-read (#288),to-read,,,,0,0
247948566,How to Not Die in Prison: A Survival Guide,Taylor Sheridan,"Sheridan, Taylor",Tom    Nelson,"=""1668213451""","=""9781668213452""",0,Simon & Schuster,Hardcover,256,2026,,,2026/07/14,to-read,to-read (#287),to-read,,,,0,0
244122402,"Up on Cove Mountain: Adventure, Tragedy, and a Quest for Meaning on the Appalachian Trail",Earl Swift,"Swift, Earl",,"=""0063265435""","=""9780063265431""",0,Mariner Books,Hardcover,368,2026,,,2026/07/11,to-read,to-read (#286),to-read,,,,0,0
58920609,"Rich Blood (Jason Rich, #1)",Robert  Bailey,"Bailey, Robert",,"=""1542037263""","=""9781542037266""",5.0,Thomas & Mercer,Kindle Edition,380,2022,2022,2026/07/04,2025/10/11,library-unavailable,library-unavailable (#87),read,,,,1,0
239265790,Anatomy of an Alibi,Ashley Elston,"Elston, Ashley",,"=""0593834461""","=""9780593834466""",4.0,Pamela Dorman Books,Kindle Edition,347,2026,2026,2026/07/02,2025/11/06,top-10,top-10 (#7),read,,,,1,0
139069,Endurance: Shackleton's Incredible Voyage,Alfred Lansing,"Lansing, Alfred",,"=""""","=""""",0,Carroll & Graf Publishers,Hardcover,282,1999,1959,,2026/07/02,to-read,to-read (#285),to-read,,,,0,0
228578720,"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,"Wynn-Williams, Sarah",,"=""1250391245""","=""9781250391247""",2.0,Flatiron Books,Error,382,2025,2025,2026/06/30,2025/12/17,top-10,top-10 (#11),read,,,,1,0
61149872,The Inmate,Freida McFadden,"McFadden, Freida",,"=""""","=""""",4.0,Hollywood Upstairs Press ,Kindle Edition,388,2022,2022,2026/06/27,2025/01/30,library-unavailable,library-unavailable (#60),read,,,,1,0
16124802,"In Good Faith (Joe Dillard, #2)",Scott Pratt,"Pratt, Scott",,"=""1480189871""","=""9781480189874""",5.0,Phoenix Publishing,Paperback,384,2012,2009,2026/06/16,2026/06/26,,,read,,,,1,0
18841489,Injustice For All (Joe Dillard #3),Scott Pratt,"Pratt, Scott",,"=""""","=""""",4.0,"Phoenix Flying, LLC",Kindle Edition,367,2013,2010,2026/06/21,2026/06/26,,,read,,,,1,0
59005391,"An Innocent Client (Joe Dillard, #1)",Scott Pratt,"Pratt, Scott",,"=""1944083103""","=""9781944083106""",4.0,Phoenix Flying Inc.,Hardcover,393,2021,2008,2026/05/28,2022/03/14,,,read,,,,1,0
247255488,The American Way of Killing: The Invention of an Epidemic,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316603783""","=""9780316603782""",0,"Little, Brown and Company",Hardcover,304,2026,,,2026/06/22,to-read,to-read (#284),to-read,,,,0,0
242000546,Thrilling Tales of Modern Men: Stories,Danny McBride,"McBride, Danny",,"=""0593594754""","=""9780593594759""",0,Random House,Hardcover,368,2026,,,2026/06/20,to-read,to-read (#283),to-read,,,,0,0
241094437,I Am Not a Robot: My Year Using AI to Do (Almost) Everything,Joanna Stern,"Stern, Joanna",,"=""0063446618""","=""9780063446618""",0,Harper,Hardcover,320,2026,,,2026/05/08,"to-read, top-10","to-read (#276), top-10 (#20)",to-read,,,,0,0
243134278,Ding Dong: How Ring Went From Shark Tank Reject To Everyone's Front Door,Jamie Siminoff,"Siminoff, Jamie",Andrew Postman,"=""""","=""9798993418117""",0,"Your First Step, Inc.",Kindle Edition,288,2025,,,2026/06/13,to-read,to-read (#282),to-read,,,,0,0
51197260,The Last Flight,Julie   Clark,"Clark, Julie",,"=""1728215730""","=""9781728215730""",5.0,Sourcebooks Landmark,Kindle Edition,320,2020,2020,2026/06/09,2026/06/04,,,read,,,,1,0
236093450,The Last Word: A Legal Thriller,D.B. Easton,"Easton, D.B.",,"=""""","=""""",5.0,,Kindle Edition,313,2025,,2026/06/04,2026/06/01,,,read,,,,1,0
211399773,The Note,Alafair Burke,"Burke, Alafair",,"=""0593537084""","=""9780593537084""",0,Knopf,Hardcover,287,2025,2025,,2026/05/31,"to-read, top-10","to-read (#281), top-10 (#19)",to-read,,,,0,0
240377749,Clusterf*ck,Brian     O'Sullivan,"O'Sullivan, Brian",,"=""""","=""""",5.0,,Kindle Edition,340,2026,,2026/05/28,2026/05/26,,,read,,,,1,0
199235727,"The Housemaid is Watching (The Housemaid, #3)",Freida McFadden,"McFadden, Freida",,"=""1464223319""","=""9781464223310""",5.0,Sourcebooks,Paperback,400,2024,2024,,2025/02/25,library-unavailable,library-unavailable (#81),read,,,,0,0
123193218,Ward D,Freida McFadden,"McFadden, Freida",,"=""""","=""""",5.0,Hollywood Upstairs Press,Kindle Edition,348,2023,2023,2026/05/26,2025/09/26,library-unavailable,library-unavailable (#82),read,,,,1,0
