Source,Title,Author,Type,Shelf,My Rating,Avg Rating,Ratings Count,Pages,Year,Date Read,Date Added,ISBN,ISBN13,Publisher,Themes,Tones,Similar To Titles,Similar To Authors,Cover URL,Goodreads URL,Buy URL,Book Key,Top 10,All Time Fave,DNF,BBRE Score
goodreads,An Innocent Client: A Joe Dillard Novel (Joe Dillard Series Book 1),Scott Pratt,fiction,read,4,3.9,5000,372,2025,2026/05/31,2026/05/28,,,Phoenix Flying LLC,"legal, thriller, courtroom","fast-paced, procedural, tense, plot-driven","In Good Faith: A Joe Dillard Novel (Joe Dillard Series Book 2), A Time to Kill (Jake Brigance, #1), The Client, The Last Chance Lawyer (Daniel Pike #1)","John Grisham, Scott Turow, Brad Parks, Steve Cavanagh",,,,an-innocent-client-a-joe-dillard-novel|scott-pratt,Yes,,,
goodreads,Clusterf*ck,Brian O'Sullivan,fiction,read,5,3.85,5000,340,2026,2026/05/28,2026/05/26,,,,"thriller, crime, humor","fast-paced, dark, gritty, tense","Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto, I Wear the Black Hat: Grappling with Villains (Real and Imagined), Yearbook, The Storyteller: Tales of Life and Music","Harlan Coben, James Patterson, Michael Connelly, Lee Child",,,,clusterf-ck|brian-o-sullivan,,,,
goodreads,Ward D,Freida McFadden,fiction,read,5,3.9,40000,348,2023,2026/05/26,2025/09/26,,,Hollywood Upstairs Press,"thriller, psychological, suspense","fast-paced, twisty, unreliable-narrator, tense","The Housemaid (The Housemaid, #1), The Teacher, Never Lie, The Inmate, The Tenant","B.A. Paris, Lisa Jewell, Shari Lapena, Liane Moriarty",,,,ward-d|freida-mcfadden,,,,
goodreads,Hidden Pictures,Jason Rekulak,fiction,read,4,3.73,20000,375,2022,2026/05/24,2022/10/19,1250819369,9781250819369,Flatiron Books,"thriller, mystery, horror","fast-paced, dark, disturbing, procedural","The Last One at the Wedding, The Silent Patient, Behind Closed Doors, The Outsider","Paul Tremblay, Riley Sager, Stephen Graham Jones, Gillian Flynn",,,,hidden-pictures|jason-rekulak,,,,
goodreads,"The Housemaid's Wedding (The Housemaid, #2.5)",Freida McFadden,fiction,read,5,4.1,30000,76,2024,2026/05/18,2026/05/18,,,Hollywood Upstairs Press,"thriller, psychological, domestic suspense","fast-paced, twisty, unreliable-narrator, compulsive","The Housemaid (The Housemaid, #1), The Housemaid's Secret (The Housemaid, #2), The Boyfriend, The Crash, Never Lie","B.A. Paris, Lisa Jewell, Shari Lapena, Liane Moriarty",,,,the-housemaid-s-wedding|freida-mcfadden,,,,
goodreads,Freak (Creep #2),Jennifer Hillier,fiction,read,5,3.91,15000,335,2012,2026/05/18,2026/05/15,,,Gallery Books,"thriller, psychological, crime","dark, twisty, tense, fast-paced","Creep (Creep, #1), Little Secrets, The Housemaid (The Housemaid, #1), Behind Closed Doors, The Silent Patient","Freida McFadden, B.A. Paris, Tana French, Harlan Coben",,,,freak|jennifer-hillier,,,,
goodreads,"The Scaling Curve: Dario Amodei, Anthropic, and the Race to Build and Survive Superintelligence",Claude St. John,nonfiction,read,4,3.8,3000,255,2026,2026/05/10,2026/04/26,,,Titanium Books,"tech history, narrative nonfiction","fast-paced, dark, revelatory","Super Pumped: The Battle for Uber, Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future, Empire of AI: Dreams and Nightmares in Sam Altman's OpenAI, Steve Jobs","Brad Stone, Walter Isaacson, Nick Bilton, Robert Cringely",,,,the-scaling-curve-dario-amodei-anthropic-and-the-race-to-build-and-survive-superintelligence|claude-st-john,,,,
goodreads,"Creep (Creep, #1)",Jennifer Hillier,fiction,read,5,3.93,30000,436,2011,2026/04/26,2020/07/26,,,Gallery Books,"thriller, psychological, crime","dark, twisty, tense, fast-paced","Freak (Creep #2), Little Secrets, The Housemaid (The Housemaid, #1), The Silent Patient, Never Lie","Freida McFadden, B.A. Paris, Tana French, Harlan Coben",,,,creep|jennifer-hillier,,,,
goodreads,"The Optimist: Sam Altman, OpenAI, and the Race to Invent the Future",Keach Hagey,nonfiction,read,3,3.75,5000,384,2025,2026/04/17,2025/04/05,1324075961,9781324075967,W. W. Norton & Company,"tech history, biography, narrative nonfiction","narrative-driven, accessible, character-study","Super Pumped: The Battle for Uber, Empire of AI: Dreams and Nightmares in Sam Altman's OpenAI, Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future, The Everything Store: Jeff Bezos and the Age of Amazon","Walter Isaacson, Nick Bilton, Brian Stelter, Gabriel Sherman",,,,the-optimist-sam-altman-openai-and-the-race-to-invent-the-future|keach-hagey,,,,
goodreads,Best Offer Wins,Marisa Kashino,nonfiction,read,5,3.82,5000,275,2025,2026/03/17,2025/11/07,1250400554,9781250400550,Celadon Books,"narrative nonfiction, business","narrative-driven, accessible, investigative","Evicted: Poverty and Profit in the American City, The Secret Life of Groceries: The Dark Miracle of the American Supermarket, Shoe Dog, The Everything Store: Jeff Bezos and the Age of Amazon","Harlan Coben, James Patterson, Michael Connelly, Brad Parks",,,,best-offer-wins|marisa-kashino,,Yes,,
