titleKey,title,year,type,status,traktId,imdbId,tmdbId,myRating,ratedAt,plays,lastWatchedAt,airedEpisodes,completionStatus,favorite,watchlistedAt,citedBy,genres,overview,keywords,originalLanguage,tmdbVoteAverage,tmdbVoteCount,tmdbPopularity,similarToIds,recommendedIds,similarToTitles,topCast,releaseDate,runtime,creator,belongsToCollection,tmdbStatus,numberOfSeasons,numberOfEpisodes,tmdbFetchedAt,rottenTomatoes,metacritic,omdbImdbRating,omdbImdbVotes,oscarWins,oscarNominations,emmyWins,emmyNominations,totalAwardWins,totalAwardNominations,awardsRaw,omdbFetchedAt,excludedFromRecommendations,exclusionReasonCode,exclusionReasonLabel,predictedScore,confidenceScore,popularityScore,audienceScoreComputed,awardsScoreComputed,reason
show:64464,11.22.63,2016,show,Watched,102771,tt2879552,64464,8,2016-04-04T00:00:00.000Z,8,1970-01-01T00:00:00.000Z,8,caught-up,false,,,Drama; Sci-Fi & Fantasy,"An English teacher travels back in time to prevent the Kennedy assassination, but discovers he is attached to the life he has made in a bygone era.",assassination; lovesickness; based on novel or book; time travel; murder; miniseries; alternate history; john f. kennedy assassination; mysterious,en,7.76,1785,14.8007,124518; 124540; 124546; 92154; 124578; 124583; 124585; 124586; 124587; 124595; 124800; 238380; 274555; 799; 873; 886; 887; 896; 918; 1023,245219; 155533; 222766; 245927; 241372; 220801; 70485; 213306; 223313; 129552; 67683; 80213; 61859; 248416; 253372; 244243; 262352; 108181; 147050; 259731,More than Blue: The Series; The Imperial Coroner; Love & Death; Sherlock Holmes; Columbo,James Franco; Sarah Gadon; Chris Cooper; Daniel Webber; Lucy Fry,2016-02-15,81,,,Ended,1,8,2026-08-21,,,8,119603,0,0,0,1,2,12,Nominated for 1 Primetime Emmy. 2 wins & 12 nominations total,2026-08-21,false,,,59,80,73,,24,"Similar to Paradise, which you loved."
show:118357,1883,2021,show,Watched,173337,tt13991232,118357,9,2022-02-27T00:00:00.000Z,10,1970-01-01T00:00:00.000Z,10,caught-up,false,,,Drama; Western,"Follow the Dutton family as they embark on a journey west through the Great Plains toward the last bastion of untamed America. A stark retelling of Western expansion, and an intense study of one family fleeing poverty to seek a better future in America’s promised land — Montana.",texas; frontier; miniseries; family drama; historical; convoy; wild west; indian attack; civil war veteran; wagon; journey; pinkertons; 19th century; oregon trail; riveting,en,8.287,996,21.1324,980; 92090; 124518; 124578; 124595; 92135; 124800; 124817; 814; 877; 886; 887; 913; 947; 1042; 1018; 1062; 59149; 59157; 59215,41692; 240993; 62732; 73586; 2562; 1401; 157744; 215866; 1406; 201877; 5742; 157732; 138971; 73467; 243396; 122235; 99346; 204999; 124800; 43901,Trackdown; Blade of the Immortal; More than Blue: The Series; The Imperial Coroner; Rise of the Great Wall,Sam Elliott; Tim McGraw; Faith Hill; Isabel May; LaMonica Garrett,2021-12-19,,Taylor Sheridan,,Ended,1,10,2026-08-21,,69,8.6,161362,0,0,0,3,6,18,Nominated for 3 Primetime Emmys. 6 wins & 18 nominations total,2026-08-21,false,,,97,90,67,69,54,You've loved 6 titles from creator Taylor Sheridan before.
show:90669,1899,2022,show,Watched,163643,tt9319668,90669,8,2022-11-17T00:00:00.000Z,8,1970-01-01T00:00:00.000Z,8,caught-up,false,,,Mystery; Drama,"When mysterious events change the course of an immigrant ship headed for New York in 1899, a mind-bending riddle unfolds for its bewildered passengers.",sea; immigration; atlantic ocean; ship; dystopia; bermuda triangle; triangle; mind game; 19th century; psychological; new encounter; old continent; thriller; adventure,de,7.454,1576,8.6868,61459; 208146; 2306; 240151; 276389; 61408; 61421; 61422; 61555; 126520; 30280; 30381; 30427; 94028; 126698; 61289; 61374; 305329; 94413; 276671,283297; 65708; 4607; 86941; 39358; 88055; 1407; 262352; 47665; 130464; 207713; 133813; 215522; 71769; 1405; 121710; 43020; 249695; 93784; 70523,Parasyte -the maxim-; 180 Degree Longitude Passes Through Us; The Missing; RIPLEY; Lost,Emily Beecham; Andreas Pietschmann; Aneurin Barnard; Isabella Wei; Maciej Musiał,2022-11-17,,Jantje Friese,,Canceled,1,8,2026-08-21,,68,7.3,121809,0,0,0,0,1,5,1 win & 5 nominations total,2026-08-21,false,,,65,95,71,68,7,"Similar to Lost and Homeland, which you loved."
movie:530915,1917,2019,movie,Watched,382862,tt8579674,530915,8,2019-12-25T00:00:00.000Z,1,2019-12-25T00:00:00.000Z,,,false,,,War; Drama; History,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",race against time; world war i; british army; survival; soldier; period drama; real time; trenches; 1910s; trench warfare; no man's land; intense; horrified; war epic,en,7.984,13787,12.9328,2302; 2320; 1565913; 2378; 625464; 2841; 1008409; 1387954; 3097; 1565841; 2470; 444660; 3010; 2567; 3060; 623312; 423; 424; 453; 457,981063; 43418; 9664; 383585; 14433; 13210; 489245; 508664; 531876; 291851; 197; 13813; 9665; 228150; 8741; 1419826; 506863; 316152; 647063; 256917,The Aviator; A Beautiful Mind; The Yellow Birds; The Kill Team; The Outpost,George MacKay; Dean-Charles Chapman; Mark Strong; Andrew Scott; Richard Madden,2019-12-25,119,Sam Mendes,,,,,2026-08-21,88,78,8.2,769457,3,0,0,0,137,202,Won 3 Oscars. 137 wins & 202 nominations total,2026-08-21,false,,,62,100,92,83,100,You've loved 1 title with Mark Strong before.
show:157744,1923,2022,show,Watched,193499,tt18335752,157744,8,2025-04-06T00:00:00.000Z,15,1970-01-01T00:00:00.000Z,15,caught-up,false,,,Drama; Western,"Follow a new generation of the Dutton family during the early twentieth century when pandemics, historic drought, the end of Prohibition and the Great Depression all plague the mountain west, and the Duttons who call it home.",africa; montana; sequel; prequel; range war; cattle ranch; yellowstone; 1920s; big game hunter; 20th century; gritty; western; indian residential school system,en,8.26,824,32.4553,277445; 240940; 2953; 63114; 128098; 128113; 128008; 3188; 3349; 123517; 314; 28577; 123598; 303124; 28527; 91909; 124394; 661; 206061; 29063,73586; 215866; 1406; 240993; 41692; 118357; 2562; 122235; 43901; 299167; 5742; 1401; 243396; 113985; 138971; 73467; 157732; 89498; 201877; 99346,Power: Origins; Kaj Munk; Power Book III: Raising Kanan; The Jazz Age; Yellowstone,Helen Mirren; Harrison Ford; Brandon Sklenar; Julia Schlaepfer; Jerome Flynn,2022-12-18,,Taylor Sheridan,,Ended,2,15,2026-08-21,,71,8.3,98919,0,0,0,2,7,29,Nominated for 2 Primetime Emmys. 7 wins & 29 nominations total,2026-08-21,false,,,100,90,65,71,59,You've loved 6 titles from creator Taylor Sheridan before.
movie:1100988,28 Years Later,2025,movie,Watched,885672,tt10548174,1100988,7,2026-08-21T14:25:00.000Z,1,2025-06-19T00:00:00.000Z,,,false,,,Horror; Thriller; Science Fiction,"Twenty-eight years after the Rage virus outbreak, a heavily-defended island survives connected to the mainland by a single causeway. When one of the group leaves the island into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",england; satanism; cult; sequel; survival; zombie; survival horror; satanic cult; zombie apocalypse; northumberland; absurd; violence; bold; compassionate; ghoulish,en,6.605,2838,26.8362,263416; 1195363; 1009640; 4233; 4437; 263619; 4234; 1567021; 4337; 445732; 4723; 445771; 445710; 4772; 445874; 4889; 46168; 46172; 296430; 46429,1562; 1141182; 11683; 1320330; 316727; 375366; 123105; 34480; 1051896; 808396; 11880; 13186; 514847; 294254; 20504; 30694; 338676; 5876; 214; 10331,The Mitchells vs. the Mitchells,Aaron Taylor-Johnson; Alfie Williams; Ralph Fiennes; Jodie Comer; Jack O'Connell,2025-06-18,115,Danny Boyle,28 Days/Weeks/Years Later Collection,,,,2026-08-21,88,77,6.6,209527,0,0,0,0,6,63,Nominated for 1 BAFTA Award. 6 wins & 63 nominations total,2026-08-21,false,,,46,95,77,83,75,Fits your taste for Horror / Thriller.
show:108545,3 Body Problem,2024,show,Watched,169972,tt13016388,108545,8,2024-03-21T00:00:00.000Z,8,1970-01-01T00:00:00.000Z,8,caught-up,false,,,Sci-Fi & Fantasy; Mystery; Drama,"Across continents and decades, five brilliant friends make earth-shattering discoveries as the laws of science unravel and an existential threat emerges.",china; based on novel or book; scientist; alien invasion; alien contact; signal; 1960s; thoughtful; alien civilization; imaginative; anxious; inspirational; cerebral; secret; thriller,en,7.492,1617,22.7224,19; 164; 28159; 123443; 302921; 302951; 122; 136; 253; 28140; 28208; 28315; 28330; 28196; 28293; 273274; 273410; 303124; 57979; 205272,86374; 1705; 156640; 34967; 83135; 157239; 127235; 424; 82001; 247721; 42009; 21494; 1639; 112581; 69061; 253372; 48866; 196322; 93784; 47640,Planet of the Apes; Romance; Kareinaru ichizoku; 999 Days of Begging; The Leftovers,Jovan Adepo; Rosalind Chao; Liam Cunningham; Eiza González; Jess Hong,2024-03-21,,David Benioff,,Returning Series,1,8,2026-08-21,,70,7.5,177200,0,0,0,6,2,38,Nominated for 6 Primetime Emmys. 2 wins & 38 nominations total,2026-08-21,false,,,67,95,72,70,90,"Similar to Black Mirror and Dark Matter, which you loved."
show:4608,30 Rock,2006,show,Watched,4584,tt0496424,4608,6,2026-07-29T01:21:12.000Z,138,2013-02-01T01:21:00.000Z,138,caught-up,false,,,Comedy,"Liz Lemon, the head writer for a late-night TV variety show in New York, tries to juggle all the egos around her while chasing her own dream.",new york city; writing; parody; female protagonist; writer; sketch comedy; employer employee relationship; sitcom; lighthearted; joyful,en,7.487,837,40.6994,2898; 2903; 2904; 2905; 277315; 2947; 2980; 2987; 241373; 277415; 241356; 2996; 95170; 95182; 95203; 95213; 94951; 240932; 2635; 2647,2962; 1400; 110; 2132; 4454; 39340; 4277; 2316; 2352; 971; 4576; 1964; 2548; 31841; 2730; 75; 634; 32294; 32843; 39331,Small Wonder; Cafe Americain; The Ropers; Ha Ha Maker; Veep,Tina Fey; Alec Baldwin; Tracy Morgan; Jane Krakowski; Jack McBrayer,2006-10-11,22,Tina Fey,,Ended,7,138,2026-08-21,,73,8.3,137477,0,0,16,0,101,368,Won 16 Primetime Emmys. 101 wins & 368 nominations total,2026-08-21,false,,,56,90,65,73,100,"Similar to Seinfeld and The Office, which you loved."
movie:1271,300,2007,movie,Watched,884,tt0416449,1271,8,2026-08-21T15:21:39.000Z,1,2007-03-07T00:00:00.000Z,,,false,,,Action; Adventure; War,"A story very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians.",army; narration; gore; based on true story; based on comic; sword fight; massacre; ancient world; based on graphic novel; ancient greece; warrior; ancient warfare; sparta greece; 5th century bc; extreme violence,en,7.208,14989,15.9792,441002; 413594; 413658; 414001; 416513; 987400; 987507; 988595; 1740732; 1741433; 1370724; 1742570; 1370870; 1371855; 424488; 440008; 440010; 440013; 982202; 440626,53182; 184315; 1966; 9387; 1251; 11358; 460465; 558449; 948713; 1257009; 21512; 639933; 8009; 11589; 1654; 931285; 161460; 791373; 489245; 2024,Gladiator II; The Kill Team,Gerard Butler; Lena Headey; Dominic West; David Wenham; Vincent Regan,2007-03-07,117,Zack Snyder,300 Collection,,,,2026-08-21,61,52,7.6,904962,0,0,0,0,19,57,19 wins & 57 nominations total,2026-08-21,false,,,64,100,93,57,95,You've loved 1 title with Dominic West before.
movie:661539,A Complete Unknown,2024,movie,Watched,495543,tt11563598,661539,7,2024-12-25T00:00:00.000Z,1,2024-12-25T00:00:00.000Z,,,false,,,Drama; Music,"New York, early 1960s. Against the backdrop of a vibrant music scene and tumultuous cultural upheaval, an enigmatic 19-year-old from Minnesota arrives in the West Village with his guitar and revolutionary talent, destined to change the course of American music.",new york city; based on novel or book; musician; biography; folk music; music history; singer-songwriter; greenwich village; 1960s; artistic risk; fictionalized history; electric guitar; acoustic folk,en,7.068,1527,14.4159,49225; 49249; 1429715; 49360; 1056928; 1057006; 853842; 49456; 49502; 49511; 1429912; 853888; 487058; 854024; 854030; 49622; 1233122; 486906; 49349; 49712,86829; 25566; 209451; 592863; 537116; 17332; 531033; 614934; 630566; 802219; 1230368; 206284; 998846; 158675; 541524; 817758; 458131; 32274; 719256; 1038263,Age of Consent; Kill Your Darlings; So Evil My Love; The Passion of Ayn Rand; The Café at the Edge of the World,Timothée Chalamet; Edward Norton; Elle Fanning; Monica Barbaro; Scoot McNairy,2024-12-25,141,James Mangold,,,,,2026-08-21,82,70,7.3,98546,0,8,0,0,26,129,Nominated for 8 Oscars. 26 wins & 129 nominations total,2026-08-21,false,,,51,95,71,76,100,You've loved 1 title with Timothée Chalamet before.
