titleKey,title,year,type,status,traktId,imdbId,tmdbId,myRating,ratedAt,plays,lastWatchedAt,airedEpisodes,completionStatus,favorite,watchlistedAt,citedBy,genres,overview,keywords,originalLanguage,tmdbVoteAverage,tmdbVoteCount,tmdbPopularity,similarToIds,recommendedIds,similarToTitles,similarToDirectors,subgenres,tones,subjects,era,topCast,releaseDate,runtime,creator,belongsToCollection,tmdbStatus,numberOfSeasons,numberOfEpisodes,tmdbFetchedAt,rottenTomatoes,metacritic,rtAudience,metacriticUser,omdbImdbRating,omdbImdbVotes,oscarWins,oscarNominations,emmyWins,emmyNominations,totalAwardWins,totalAwardNominations,awardsRaw,omdbFetchedAt,excludedFromRecommendations,exclusionReasonCode,exclusionReasonLabel,predictedScore,confidenceScore,popularityScore,imdbPopularityScore,criticScoreComputed,audienceScoreComputed,awardsScoreComputed,reason
show:64464,11.22.63,2016,show,Watched,102771,tt2879552,64464,8,2016-04-04T00:00:00.000Z,8,1970-01-01T00:00:00.000Z,8,caught-up,false,,,Drama; Sci-Fi & Fantasy,"An English teacher travels back in time to prevent the Kennedy assassination, but discovers he is attached to the life he has made in a bygone era.",assassination; lovesickness; based on novel or book; time travel; murder; miniseries; alternate history; john f. kennedy assassination; mysterious,en,7.76,1794,12.489,91461; 91470; 238148; 238151; 28804; 124067; 124077; 352; 424; 124189; 206385; 206402; 206476; 206485; 206510; 304203; 304256; 238380; 238401; 29004,245219; 155533; 222766; 245927; 220801; 241372; 70485; 213306; 223313; 129552; 80213; 61859; 67683; 262352; 253372; 244243; 248416; 108181; 91962; 61247,The Purge; The Night Manager; The Day of the Jackal; The Night Agent; Torchwood,,time-travel,suspenseful; character-driven; melancholy; slow-burn,fate-and-destiny,cold-war,James Franco; Sarah Gadon; Chris Cooper; Daniel Webber; Lucy Fry,2016-02-15,81,,,Ended,1,8,2026-08-31,83,,87,,8,119603,0,0,0,1,2,12,Nominated for 1 Primetime Emmy. 2 wins & 12 nominations total,2026-08-21,false,,,90,80,73,81,83,87,24,Cast Affinity — You've loved 1 title with James Franco before.
movie:300671,13 Hours: The Secret Soldiers of Benghazi,2016,movie,Watched,219869,tt4172430,300671,8,2026-08-24T12:28:56.000Z,1,2016-01-15T00:00:00.000Z,,,false,,,War; History; Drama,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,central intelligence agency (cia); based on novel or book; libya; assault rifle; mercenary; heroism; biography; based on true story; explosion; american abroad; death; u.s. ambassador,en,7.276,4041,14.4199,684530; 1203618; 8848; 1203641; 268286; 8915; 632464; 8966; 8967; 8984; 8999; 8512; 8557; 8588; 8619; 8643; 1396772; 1016346; 8741; 8816,429351; 8880; 855; 468362; 245916; 347984; 193756; 334517; 2042; 383585; 28; 467952; 283587; 8007; 9567; 848439; 13922; 96399; 475132; 885110,Twilight; Black Hawk Down; Lone Survivor; Master and Commander: The Far Side of the World; The Thin Red Line,Terrence Malick,military-drama,gritty; intense; dark; inspirational,sacrifice-duty,contemporary,John Krasinski; James Badge Dale; Dominic Fumusa; Max Martini; Pablo Schreiber,2016-01-14,144,Michael Bay,,,,,2026-08-31,52,48,83,70,7.3,179569,0,1,0,0,0,5,Nominated for 1 Oscar. 5 nominations total,2026-08-21,false,,,82,95,81,84,50,77,20,Cast Affinity — You've loved 1 title with John Krasinski before.
show:118357,1883,2021,show,Watched,173337,tt13991232,118357,9,2022-02-27T00:00:00.000Z,10,1970-01-01T00:00:00.000Z,10,caught-up,false,,,Drama; Western,"Follow the Dutton family as they embark on a journey west through the Great Plains toward the last bastion of untamed America. A stark retelling of Western expansion, and an intense study of one family fleeing poverty to seek a better future in America’s promised land — Montana.",texas; frontier; miniseries; family drama; historical; convoy; wild west; indian attack; civil war veteran; wagon; journey; pinkertons; 19th century; oregon trail; riveting,en,8.297,1006,19.6676,237781; 58263; 58276; 28450; 28467; 91302; 28379; 91275; 28293; 58168; 58318; 28481; 28330; 74; 40; 51; 28208; 28196; 205988; 237982,41692; 240993; 62732; 73586; 2562; 1401; 157744; 215866; 201877; 1406; 157732; 5742; 138971; 99346; 204999; 73467; 122235; 20056; 43016; 124800,Yellowstone; Deadwood; Unbelievable; 1923; Godless,Taylor Sheridan,family-drama,gritty; melancholy; character-driven,immigration-refugee,late-19th-century,Sam Elliott; Tim McGraw; Faith Hill; Isabel May; LaMonica Garrett,2021-12-19,,Taylor Sheridan,,Ended,1,10,2026-08-31,89,69,78,81,8.6,161362,0,0,0,3,6,18,Nominated for 3 Primetime Emmys. 6 wins & 18 nominations total,2026-08-21,false,,,100,95,67,83,79,80,54,Creator Match — You've loved 6 titles from creator Taylor Sheridan before.
show:90669,1899,2022,show,Watched,163643,tt9319668,90669,8,2022-11-17T00:00:00.000Z,8,1970-01-01T00:00:00.000Z,8,caught-up,false,,,Mystery; Drama,"When mysterious events change the course of an immigrant ship headed for New York in 1899, a mind-bending riddle unfolds for its bewildered passengers.",sea; immigration; atlantic ocean; ship; dystopia; bermuda triangle; triangle; mind game; 19th century; psychological; new encounter; old continent; thriller; adventure,de,7.457,1583,9.9657,28467; 91269; 123925; 136; 238084; 206227; 253; 314; 28574; 238251; 238253; 58631; 58677; 274427; 91601; 580; 554; 124548; 58928; 620,283297; 65708; 86941; 4607; 39358; 121710; 88055; 1407; 262352; 133813; 47665; 130464; 207713; 215522; 43020; 71769; 1405; 72615; 221585; 70523,Dark; Dexter; Lost; Homeland; Star Trek,,supernatural-mystery; psychological-thriller,dark; suspenseful; twisty; intense,immigration-refugee,late-19th-century,Emily Beecham; Andreas Pietschmann; Aneurin Barnard; Isabella Wei; Maciej Musiał,2022-11-17,,Jantje Friese,,Canceled,1,8,2026-08-31,77,68,73,67,7.3,121809,0,0,0,0,1,5,1 win & 5 nominations total,2026-08-21,false,,,63,95,71,81,73,70,7,Cast Affinity — You've loved 1 title with Emily Beecham before.
movie:530915,1917,2019,movie,Watched,382862,tt8579674,530915,8,2019-12-25T00:00:00.000Z,1,2019-12-25T00:00:00.000Z,,,false,,,War; Drama; History,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",race against time; world war i; british army; survival; soldier; period drama; real time; trenches; 1910s; trench warfare; no man's land; intense; horrified; war epic,en,7.984,13829,16.4144,821319; 8847; 8968; 8619; 8471; 8741; 450807; 9036; 9040; 9045; 9093; 9281; 1016851; 9313; 9289; 1397219; 9103; 268774; 9386; 451480,981063; 35583; 43418; 13210; 489245; 647063; 383585; 506863; 508664; 531876; 13813; 197; 9665; 228150; 8741; 291851; 1419826; 15267; 260063; 316152,Master and Commander: The Far Side of the World; The Thin Red Line; Serpico; The Outpost; The Longest Day,,military-drama; survival-drama,intense,sacrifice-duty,world-war-i,George MacKay; Dean-Charles Chapman; Mark Strong; Andrew Scott; Richard Madden,2019-12-25,119,Sam Mendes,,,,,2026-08-31,88,78,88,83,8.2,769457,3,0,0,0,137,202,Won 3 Oscars. 137 wins & 202 nominations total,2026-08-21,false,,,69,100,92,94,83,86,100,Cast Affinity — You've loved 1 title with George MacKay before.
show:157744,1923,2022,show,Watched,193499,tt18335752,157744,8,2025-04-06T00:00:00.000Z,15,1970-01-01T00:00:00.000Z,15,caught-up,false,,,Drama; Western,"Follow a new generation of the Dutton family during the early twentieth century when pandemics, historic drought, the end of Prohibition and the Great Depression all plague the mountain west, and the Duttons who call it home.",africa; montana; sequel; prequel; range war; cattle ranch; yellowstone; 1920s; big game hunter; 20th century; gritty; western; indian residential school system,en,8.27,832,26.0078,303810; 206061; 314; 28527; 28577; 238346; 29063; 304336; 124394; 91909; 29345; 304401; 304452; 661; 29421; 877; 125116; 275188; 239615; 239663,73586; 41692; 215866; 1406; 240993; 118357; 2562; 122235; 43901; 299167; 1401; 5742; 113985; 243396; 89498; 138971; 157732; 223300; 99346; 73467,Yellowstone; 1883; Deadwood; Godless; Dutton Ranch,Taylor Sheridan; Chad Feehan,neo-western; family-drama; historical,gritty; intense; character-driven,family-dynamics,early-20th-century,Helen Mirren; Harrison Ford; Brandon Sklenar; Julia Schlaepfer; Jerome Flynn,2022-12-18,,Taylor Sheridan,,Ended,2,15,2026-08-31,94,71,55,66,8.3,98919,0,0,0,2,7,29,Nominated for 2 Primetime Emmys. 7 wins & 29 nominations total,2026-08-21,false,,,100,90,65,80,83,61,59,Creator Match — You've loved 6 titles from creator Taylor Sheridan before.
movie:1100988,28 Years Later,2025,movie,Watched,885672,tt10548174,1100988,7,2026-08-21T14:25:00.000Z,1,2025-06-19T00:00:00.000Z,,,false,,,Horror; Thriller; Science Fiction,"Twenty-eight years after the Rage virus outbreak, a heavily-defended island survives connected to the mainland by a single causeway. When one of the group leaves the island into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",england; satanism; cult; sequel; survival; zombie; survival horror; satanic cult; zombie apocalypse; northumberland; absurd; violence; bold; compassionate; ghoulish,en,6.607,2888,21.0933,309554; 1197633; 444884; 1423; 928; 916; 923; 924; 927; 956; 444663; 1570154; 1368; 1369; 1370; 1570304; 1391149; 1391153; 940; 942,1272837; 1562; 1141182; 11683; 1320330; 316727; 399894; 375366; 1051896; 34480; 808396; 123105; 11880; 170; 30694; 13186; 514847; 294254; 20504; 106845,Mission: Impossible III; First Blood; Dawn of the Dead; Rambo: First Blood Part II; Lethal Weapon 2,,post-apocalyptic; survival-horror,dark; intense; suspenseful,cult-extremism; survival,near-future,Aaron Taylor-Johnson; Alfie Williams; Ralph Fiennes; Jodie Comer; Jack O'Connell,2025-06-18,115,Danny Boyle,28 Days/Weeks/Years Later Collection,,,,2026-08-31,88,77,88,62,6.6,209527,0,0,0,0,6,63,Nominated for 1 BAFTA Award. 6 wins & 63 nominations total,2026-08-21,false,,,53,95,77,85,83,75,75,Cast Affinity — You've loved 1 title with Aaron Taylor-Johnson before.
show:108545,3 Body Problem,2024,show,Watched,169972,tt13016388,108545,8,2024-03-21T00:00:00.000Z,8,1970-01-01T00:00:00.000Z,8,caught-up,false,,,Sci-Fi & Fantasy; Mystery; Drama,"Across continents and decades, five brilliant friends make earth-shattering discoveries as the laws of science unravel and an existential threat emerges.",china; based on novel or book; scientist; alien invasion; alien contact; signal; 1960s; thoughtful; alien civilization; imaginative; anxious; inspirational; cerebral; secret; thriller,en,7.492,1632,24.1571,19; 237748; 28208; 28196; 122; 136; 91406; 91413; 91417; 237997; 164; 206037; 237978; 123812; 28293; 91257; 28330; 28379; 91239; 28315,86374; 1705; 156640; 34967; 83135; 127235; 157239; 247721; 82001; 424; 21494; 112581; 42009; 1639; 69061; 253372; 48866; 196322; 51704; 47640,The 100; Black Mirror; Bridgerton; Fringe; Heroes,,supernatural-mystery; alien-invasion,thoughtful; dark; suspenseful,supernatural-paranormal,multi-era,Jovan Adepo; Rosalind Chao; Liam Cunningham; Eiza González; Jess Hong,2024-03-21,,David Benioff,,Returning Series,1,8,2026-08-31,79,70,76,61,7.5,177200,0,0,0,6,2,38,Nominated for 6 Primetime Emmys. 2 wins & 38 nominations total,2026-08-21,false,,,75,95,72,84,75,69,90,Cast Affinity — You've loved 1 title with Jovan Adepo before.
show:4608,30 Rock,2006,show,Watched,4584,tt0496424,4608,6,2026-07-29T01:21:12.000Z,138,2013-02-01T01:21:00.000Z,138,caught-up,false,,,Comedy,"Liz Lemon, the head writer for a late-night TV variety show in New York, tries to juggle all the egos around her while chasing her own dream.",new york city; writing; parody; female protagonist; writer; sketch comedy; employer employee relationship; sitcom; lighthearted; joyful,en,7.499,841,45.6988,58138; 10; 58188; 95; 97; 105; 110; 111; 58208; 59; 65; 67; 71; 72; 73; 75; 82; 88; 237630; 89,2962; 110; 2132; 4454; 39340; 4277; 2316; 971; 2352; 4576; 1964; 2548; 31841; 2730; 75; 2996; 634; 32294; 192; 46028,The Office; Sex and the City; The Office; Animaniacs; Only Fools and Horses,,workplace-comedy; satire; sitcom,witty; satirical,workplace-culture,contemporary,Tina Fey; Alec Baldwin; Tracy Morgan; Jane Krakowski; Jack McBrayer,2006-10-11,22,Tina Fey,,Ended,7,138,2026-08-31,78,73,91,84,8.3,137477,0,0,16,0,101,368,Won 16 Primetime Emmys. 101 wins & 368 nominations total,2026-08-21,false,,,54,90,65,82,76,88,100,Cast Affinity — You've loved 1 title with Tina Fey before.
movie:1271,300,2007,movie,Watched,884,tt0416449,1271,8,2026-08-21T15:21:39.000Z,1,2007-03-07T00:00:00.000Z,,,false,,,Action; Adventure; War,"A story very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians.",army; narration; gore; based on true story; based on comic; sword fight; massacre; ancient world; based on graphic novel; ancient greece; warrior; ancient warfare; sparta greece; 5th century bc; extreme violence,en,7.208,15027,15.4158,662460; 42193; 41541; 1228060; 41609; 1421496; 41725; 41800; 1227759; 674590; 674255; 1239039; 53182; 1060258; 1432016; 52629; 52705; 1616610; 52998; 53004,53182; 184315; 1966; 9387; 1251; 11358; 460465; 558449; 948713; 975902; 1495; 1257009; 21512; 8009; 11589; 639933; 161460; 631939; 1654; 931285,Kingdom of Heaven; Gladiator II; Letters from Iwo Jima; Walking Tall; The Dirty Dozen,Ridley Scott,historical,intense; dark; gritty,resistance-rebellion,classical-antiquity,Gerard Butler; Lena Headey; Dominic West; David Wenham; Vincent Regan,2007-03-07,117,Zack Snyder,300 Collection,,,,2026-08-31,61,52,89,72,7.6,904962,0,0,0,0,19,57,19 wins & 57 nominations total,2026-08-21,false,,,73,100,93,95,57,81,95,Cast Affinity — You've loved 1 title with Gerard Butler before.
