titleKey,title,year,type,status,traktId,imdbId,tmdbId,myRating,ratedAt,plays,lastWatchedAt,airedEpisodes,completionStatus,favorite,watchlistedAt,citedBy,genres,overview,keywords,originalLanguage,tmdbVoteAverage,tmdbVoteCount,tmdbPopularity,similarToIds,recommendedIds,similarToTitles,similarToDirectors,subgenres,tones,subjects,era,topCast,releaseDate,runtime,creator,belongsToCollection,tmdbStatus,numberOfSeasons,numberOfEpisodes,tmdbFetchedAt,rottenTomatoes,metacritic,rtAudience,metacriticUser,omdbImdbRating,omdbImdbVotes,oscarWins,oscarNominations,emmyWins,emmyNominations,totalAwardWins,totalAwardNominations,awardsRaw,omdbFetchedAt,excludedFromRecommendations,exclusionReasonCode,exclusionReasonLabel,isRecommendationEligible,predictedScore,confidenceScore,popularityScore,imdbPopularityScore,criticScoreComputed,audienceScoreComputed,awardsScoreComputed,reason
movie:19913,(500) Days of Summer,2009,movie,Watched,12224,tt1022603,19913,10,2026-09-03T01:03:40.000Z,1,2009-07-17T00:00:00.000Z,,,false,,,Comedy; Drama; Romance,"Tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer, suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.","jealousy; gallery; fight; date; architect; interview; romcom; sister; love; friends; fate; los angeles, california; summer; year; heartache",en,7.306,11292,13.877,1491567; 1492406; 1492212; 1492313; 122252; 1703962; 399496; 123771; 1316854; 1316998; 370301; 401896; 175903; 1134874; 177239; 957244; 957257; 152753; 388703; 403431,13668; 8488; 1321439; 51828; 57157; 44009; 339397; 1618945; 975043; 8976; 12572; 27397; 1034716; 41760; 718032; 427900; 2028; 50646; 1272149; 2313,"Crazy, Stupid, Love.; Hitch; One Day; Café Society; Licorice Pizza",,romcom; character-study,witty; melancholy; character-driven; thoughtful,marriage-relationships,,Joseph Gordon-Levitt; Zooey Deschanel; Geoffrey Arend; Chloë Grace Moretz; Matthew Gray Gubler,2009-07-17,95,Marc Webb,,,,,2026-09-18,86,76,84,80,7.6,613237,0,0,0,0,17,58,17 wins & 58 nominations total,2026-09-10,false,,,false,72,100,91,93,81,82,92,Creator Match — You've loved 1 title from director Marc Webb before.
show:64464,11.22.63,2016,show,Watched,102771,tt2879552,64464,8,2016-04-04T00:00:00.000Z,8,1970-01-01T00:00:00.000Z,8,caught-up,false,,,Drama; Sci-Fi & Fantasy,"An English teacher travels back in time to prevent the Kennedy assassination, but discovers he is attached to the life he has made in a bygone era.",assassination; lovesickness; based on novel or book; time travel; murder; miniseries; alternate history; john f. kennedy assassination; mysterious,en,7.762,1805,12.3534,60875; 60877; 60907; 1457; 1391; 1395; 1399; 1405; 208783; 241275; 241290; 126254; 1475; 1479; 1481; 1425; 1426; 241064; 241065; 241112,245219; 155533; 222766; 245927; 241372; 70485; 220801; 223313; 213306; 129552; 80213; 262352; 61859; 67683; 253372; 244243; 91962; 248416; 108181; 253321,Game of Thrones; Dexter; The Purge; House of Cards; Gossip Girl,,time-travel,slow-burn; melancholy; character-driven; nostalgic,fate-and-destiny,,James Franco; Sarah Gadon; Chris Cooper; Daniel Webber; Lucy Fry,2016-02-15,81,J.J. Abrams,,Ended,1,8,2026-09-18,83,,87,,8,119603,0,0,0,1,2,12,Nominated for 1 Primetime Emmy. 2 wins & 12 nominations total,2026-09-10,false,,,false,100,95,73,81,83,87,24,Creator Match — You've loved 2 titles from creator J.J. Abrams before.
movie:76203,12 Years a Slave,2013,movie,Watched,56258,tt2024544,76203,6,2026-09-10T12:15:37.000Z,1,2013-10-18T00:00:00.000Z,,,false,,,Drama; History,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",slavery; louisiana; based on true story; racism; based on memoir or autobiography; period drama; slave owner; shocking; 19th century; sold into slavery; abolitionist; african american history; american history; deep south; harsh,en,7.927,12211,11.8949,1686425; 1492198; 924154; 986965; 986966; 399440; 387474; 400656; 402693; 589049; 761226; 940000; 174950; 152760; 403383; 9952; 1209938; 270136; 9702; 453201,339408; 715931; 316152; 9665; 1028196; 9361; 31906; 686548; 26973; 68718; 618; 556984; 505707; 72881; 517088; 308032; 1645; 55061; 466420; 666219,Django Unchained; Killers of the Flower Moon; The Trial of the Chicago 7; Free State of Jones; Emancipation,,historical,intense,racism-civil-rights; historical-atrocities,ancient-to-1900,Chiwetel Ejiofor; Michael Fassbender; Lupita Nyong'o; Benedict Cumberbatch; Paul Dano,2013-10-18,134,Steve McQueen,,,,,2026-09-18,95,96,90,80,8.1,785552,3,0,0,0,244,338,Won 3 Oscars. 244 wins & 338 nominations total,2026-09-10,false,,,false,77,100,91,94,96,85,100,Cast Affinity — You've loved 1 title with Michael Fassbender before.
movie:300671,13 Hours: The Secret Soldiers of Benghazi,2016,movie,Watched,219869,tt4172430,300671,8,2026-08-24T12:28:56.000Z,1,2016-01-15T00:00:00.000Z,,,false,,,War; History; Drama,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,central intelligence agency (cia); based on novel or book; libya; assault rifle; mercenary; heroism; biography; based on true story; explosion; american abroad; death; u.s. ambassador,en,7.278,4063,12.375,123665; 123678; 123685; 123690; 924154; 728882; 1686425; 1492198; 370211; 370222; 370349; 122322; 1316989; 726620; 387551; 387474; 573627; 940000; 574546; 942341,8880; 855; 468362; 245916; 193756; 383585; 347984; 429351; 334517; 2042; 28; 467952; 283587; 8007; 9567; 848439; 13922; 96399; 475132; 885110,Apocalypse Now; Black Hawk Down; Lone Survivor; 12 Strong; Tears of the Sun,,military-drama,gritty; intense; suspenseful; dark,sacrifice-duty,,John Krasinski; James Badge Dale; Dominic Fumusa; Max Martini; Pablo Schreiber,2016-01-14,144,Michael Bay,,,,,2026-09-18,52,48,83,70,7.3,179569,0,1,0,0,0,5,Nominated for 1 Oscar. 5 nominations total,2026-09-10,false,,,false,73,95,81,84,50,77,20,Cast Affinity — You've loved 1 title with John Krasinski before.
show:118357,1883,2021,show,Watched,173337,tt13991232,118357,9,2022-02-27T00:00:00.000Z,10,1970-01-01T00:00:00.000Z,10,caught-up,false,,,Drama; Western,"Follow the Dutton family as they embark on a journey west through the Great Plains toward the last bastion of untamed America. A stark retelling of Western expansion, and an intense study of one family fleeing poverty to seek a better future in America’s promised land — Montana.",texas; frontier; miniseries; family drama; historical; convoy; wild west; indian attack; civil war veteran; wagon; journey; pinkertons; 19th century; oregon trail; riveting,en,8.291,1027,16.9975,239496; 352; 365; 341; 29004; 58928; 58950; 260; 124861; 59149; 28804; 424; 59157; 59215; 207333; 207334; 219; 232; 235; 92647,41692; 62732; 240993; 73586; 2562; 1401; 201877; 157744; 215866; 1406; 157732; 5742; 138971; 73467; 99346; 122235; 204999; 43016; 223300; 57389,Yellowstone; Deadwood; 1923; Godless; Torchwood,Taylor Sheridan,family-drama,gritty; melancholy; character-driven,immigration-refugee,,Sam Elliott; Tim McGraw; Faith Hill; Isabel May; LaMonica Garrett,2021-12-19,,Taylor Sheridan,,Ended,1,10,2026-09-18,89,69,78,81,8.6,161362,0,0,0,3,6,18,Nominated for 3 Primetime Emmys. 6 wins & 18 nominations total,2026-09-10,false,,,false,100,95,67,83,79,80,54,Creator Match — You've loved 8 titles from creator Taylor Sheridan before.
show:90669,1899,2022,show,Watched,163643,tt9319668,90669,8,2022-11-17T00:00:00.000Z,8,1970-01-01T00:00:00.000Z,8,caught-up,false,,,Mystery; Drama,"When mysterious events change the course of an immigrant ship headed for New York in 1899, a mind-bending riddle unfolds for its bewildered passengers.",sea; immigration; atlantic ocean; ship; dystopia; bermuda triangle; triangle; mind game; 19th century; psychological; new encounter; old continent; thriller; adventure,de,7.5,1592,8.2712,64840; 97801; 97860; 278589; 278605; 62231; 31880; 95259; 242621; 307900; 95396; 62097; 242537; 209751; 278649; 95459; 278754; 242860; 2306; 242706,283297; 65708; 86941; 4607; 39358; 262352; 72615; 1407; 88055; 121710; 81239; 47665; 207713; 130464; 215522; 133813; 306603; 71769; 43020; 93784,Lost; Severance; Homeland; Taboo; Black Sails,,supernatural-mystery; psychological-thriller,dark; suspenseful; twisty; slow-burn,immigration-refugee,,Emily Beecham; Andreas Pietschmann; Aneurin Barnard; Isabella Wei; Maciej Musiał,2022-11-17,,Jantje Friese,,Canceled,1,8,2026-09-18,77,68,73,67,7.3,121809,0,0,0,0,1,5,1 win & 5 nominations total,2026-09-10,false,,,false,67,95,72,81,73,70,7,"Similar Title — Similar to Lost and Severance, which you loved."
movie:530915,1917,2019,movie,Watched,382862,tt8579674,530915,8,2019-12-25T00:00:00.000Z,1,2019-12-25T00:00:00.000Z,,,false,,,War; Drama; History,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",race against time; world war i; british army; survival; soldier; period drama; real time; trenches; 1910s; trench warfare; no man's land; intense; horrified; war epic,en,7.984,13888,15.5112,123755; 1686422; 1508507; 1520792; 399440; 174680; 174950; 143; 98; 453; 457; 458; 459; 650; 446021; 618; 629; 586; 606; 263014,981063; 35583; 43418; 383585; 647063; 489245; 508664; 531876; 506863; 13813; 197; 9665; 228150; 8741; 260063; 31623; 15267; 618; 316152; 1419826,Gladiator; Fury; Braveheart; A Beautiful Mind; The Thin Red Line,Ernst Marischka,military-drama; survival-drama,intense,sacrifice-duty,,George MacKay; Dean-Charles Chapman; Mark Strong; Andrew Scott; Richard Madden,2019-12-25,119,Sam Mendes,,,,,2026-09-18,88,78,88,83,8.2,769457,3,0,0,0,137,202,Won 3 Oscars. 137 wins & 202 nominations total,2026-09-10,false,,,false,83,100,93,94,83,86,100,"Similar Title — Similar to Gladiator, which you loved."
show:157744,1923,2022,show,Watched,193499,tt18335752,157744,10,2026-09-11T23:50:32.000Z,15,1970-01-01T00:00:00.000Z,15,caught-up,false,,,Drama; Western,"Follow a new generation of the Dutton family during the early twentieth century when pandemics, historic drought, the end of Prohibition and the Great Depression all plague the mountain west, and the Duttons who call it home.",africa; montana; sequel; prequel; range war; cattle ranch; yellowstone; 1920s; big game hunter; 20th century; gritty; western; indian residential school system,en,8.265,847,27.3797,208677; 277445; 1621; 30991; 94559; 61389; 94617; 277812; 126626; 28527; 275495; 28577; 91909; 314; 239615; 92669; 239663; 125116; 29063; 207718,73586; 215866; 1406; 41692; 118357; 240993; 2562; 122235; 43901; 299167; 5742; 1401; 113985; 243396; 201877; 223300; 157732; 73467; 89498; 138971,Yellowstone; Boardwalk Empire; 1883; Deadwood; Star Trek: Enterprise,Taylor Sheridan; Chad Feehan,neo-western; family-drama; historical,gritty; intense; character-driven,family-dynamics,,Helen Mirren; Harrison Ford; Brandon Sklenar; Julia Schlaepfer; Jerome Flynn,2022-12-18,,Taylor Sheridan,,Ended,2,15,2026-09-18,94,71,55,66,8.3,98919,0,0,0,2,7,29,Nominated for 2 Primetime Emmys. 7 wins & 29 nominations total,2026-09-10,false,,,false,100,90,65,80,83,61,59,Creator Match — You've loved 8 titles from creator Taylor Sheridan before.
movie:170,28 Days Later,2002,movie,Watched,135,tt0289043,170,9,2026-09-11T23:43:16.000Z,1,2002-11-01T00:00:00.000Z,,,false,,,Horror; Thriller; Science Fiction,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.","london, england; infection; outbreak; zombie; brutality; survival horror; zombie apocalypse; virus; waking from coma; post-apocalyptic",en,7.246,8867,25.4591,122329; 991351; 1703977; 387419; 1337523; 757854; 177221; 9964; 10002; 10003; 10016; 10017; 10029; 9759; 9727; 9705; 453288; 9792; 9911; 9913,1562; 1141182; 1217585; 1100988; 215830; 375366; 1443894; 1198984; 1148027; 360784; 72190; 13460; 1272837; 294254; 11683; 123105; 338676; 23963; 1992; 11954,World War Z; 28 Years Later; 28 Years Later: The Bone Temple,,survival-horror; psychological-horror; creature-feature,gritty,survival; societal-collapse,,Cillian Murphy; Naomie Harris; Brendan Gleeson; Megan Burns; Christopher Eccleston,2002-10-31,113,Danny Boyle,28 Days/Weeks/Years Later Collection,,,,2026-09-18,87,73,85,77,7.5,539380,0,0,0,0,10,32,10 wins & 32 nominations total,2026-09-12,false,,,false,60,100,88,92,80,81,52,Franchise Match — You loved 28 Days Later — this is another entry in the same 28 Days/Weeks/Years Later franchise.
movie:1100988,28 Years Later,2025,movie,Watched,885672,tt10548174,1100988,7,2026-08-21T14:25:00.000Z,1,2025-06-19T00:00:00.000Z,,,false,,,Horror; Thriller; Science Fiction,"Twenty-eight years after the Rage virus outbreak, a heavily-defended island survives connected to the mainland by a single causeway. When one of the group leaves the island into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",england; satanism; cult; sequel; survival; zombie; survival horror; satanic cult; zombie apocalypse; northumberland; violence; lindisfarne; post-apocalyptic,en,6.608,2954,32.5419,387419; 1703977; 1508591; 556901; 557526; 1150672; 991351; 757854; 177221; 1337523; 278924; 278954; 18250; 29906; 29917; 1421903; 843314; 30183; 289239; 1605094,1272837; 1562; 11683; 1141182; 316727; 1320330; 338676; 808396; 294254; 170; 34480; 375366; 13186; 123105; 106845; 30694; 1051896; 442249; 20504; 1339173,28 Days Later; The First Purge; 28 Years Later: The Bone Temple; Teen Titans Go! vs. Teen Titans,,post-apocalyptic; survival-horror,dark; intense; suspenseful,cult-extremism; survival,,Aaron Taylor-Johnson; Alfie Williams; Ralph Fiennes; Jodie Comer; Jack O'Connell,2025-06-18,115,Danny Boyle,28 Days/Weeks/Years Later Collection,,,,2026-09-18,88,77,88,62,6.6,209527,0,0,0,0,6,63,Nominated for 1 BAFTA Award. 6 wins & 63 nominations total,2026-09-10,false,,,false,74,95,78,85,83,75,75,Franchise Match — You loved 28 Days Later — this is another entry in the same 28 Days/Weeks/Years Later franchise.
